Surface, Avg, Min, Max
 400,7.3434,1.81097,24.9805
 400,10.8248,1.49767,83.5238
 800,11.046,7.91875,30.7342
 800,10.9371,3.6413,70.2279
1600,33.7852,30.8741,57.7133
1600,23.8199,10.9418,135.915
3200,127.481,125.877,129.683
3200,52.315,43.6533,116.827
6400,489.955,487.803,491.151
6400,114.222,87.2656,239.458
