Surface, Avg, Min, Max
 400,7.2135,1.75766,22.5359
 400,6.23047,1.51698,83.7971
 800,8.45123,7.94712,29.4099
 800,5.61963,3.6899,83.8825
1600,31.5093,30.7729,56.9592
1600,12.8165,11.1126,102.335
3200,124.024,122.64,146.544
3200,39.0235,31.0525,116.301
6400,491.28,487.795,506.794
6400,93.0653,88.6246,265.735
